id,name,dob_m,dob_d,dob_y,height_ft,height_in,position_1,position_2,image
213,Petar Aleksandrov,12,7,1962,,,Forward,,
214,Alemao,11,22,1961,,,Midfielder,,
215,Dmitry Alenichev,10,20,1972,5,10,Midfielder,,
216,Niclas Alexandersson,12,29,1971,5,11,Midfielder,,
217,Alexandre Baptista,2,17,1941,,,Defender,,
218,Alekos Alexandris,10,21,1968,,,Forward,,
219,Jose Alexanko,9,19,1956,,,Defender,,
220,Alexis Alexiou,9,8,1963,,,Defender,,
221,Alexis Alexoudis,6,20,1972,,,Forward,,
222,Mauricio Alfaro,2,13,1956,,,Midfielder,,
223,Wardy Alfaro,12,31,1977,5,10,Goalkeeper,,
224,Alfonso,9,26,1972,,,Forward,,
225,Alfredo,10,18,1946,,,Defender,,
226,Alfredo Ii,1,1,1920,,,Forward,,
227,Alfredo Ramos,10,27,1924,,,Defender,,
228,Victor Algaranaz,4,6,1924,,,Forward,,
229,Beratligil Ali,4,24,2016,,,Defender,,
230,Ali Jamal,2,2,1956,,,Midfielder,,
231,Rafael Alkorta,9,16,1968,,,Defender,,
232,Jawad Allahwardi,7,16,1954,,,Defender,,
233,Marcus Allback,7,5,1973,5,10,Forward,,
234,Ivor Allchurch,10,16,1929,,,Forward,,
235,Len Allchurch,9,12,1933,,,Forward,,
236,Luigi Allemandi,11,8,1903,,,Defender,,
237,Toni Allemann,1,6,1936,,,Forward,,
238,Willy Allemann,6,10,1942,,,Defender,,
239,Karl Allgoewer,1,5,1957,,,Midfielder,,
240,Klaus Allofs,12,5,1956,,,Forward,,
241,Thomas Allofs,11,17,1959,,,Forward,,
242,André Almeida,9,10,1990,6,1,Defender,,
243,Hugo Almeida,5,23,1984,6,3,Forward,,
244,Matias Almeyda,12,21,1973,5,8,Midfielder,,
245,Erik Almgren,1,28,1908,,,Midfielder,,
246,Sergio Almiron,11,18,1958,,,Forward,,
247,Robert Almond,4,16,1951,,,Defender,,
248,Ahmad Alnameh,10,20,1982,6,2,Defender,,
249,Nicolas Alnoudji,12,9,1979,6,0,Midfielder,,
250,John Aloisi,2,5,1976,6,2,Forward,,
251,Faustino Alonso,2,15,1961,,,Forward,,
252,Juan Alonso,1,1,1911,,,Forward,,
253,Miguel Alonso,2,1,1953,,,Midfielder,,
254,Norberto Alonso,1,4,1953,,,Midfielder,,
255,Adrian Alston,2,6,1949,,,Forward,,
256,Jose Altafini,7,24,1938,,,Forward,,
257,Altair,1,22,1938,,,Defender,,
258,Mansour Althagafi,1,14,1979,5,9,Defender,,
259,Jozy Altidore,11,6,1989,6,0,Forward,,
260,Alessandro Altobelli,11,28,1955,,,Forward,,
261,Guido Alvarenga,8,24,1970,5,6,Midfielder,,
262,Edgar Alvarez,1,18,1980,5,6,Midfielder,,
263,Eliseo Alvarez,8,9,1940,,,Defender,Midfielder,
264,Emilio Alvarez,2,10,1939,,,Defender,Midfielder,
265,Leonel Alvarez,7,30,1965,,,Midfielder,,
266,Manuel Alvarez,5,23,1928,,,Defender,,
267,Ricardo Álvarez,4,12,1988,6,2,Midfielder,,
268,Eder Alvarez Balanta,2,28,1993,5,11,Defender,,
269,Alvaro,1,3,1961,,,Defender,,
270,John Alvbage,8,10,1982,6,1,Goalkeeper,,
271,Bruno Alves,11,27,1981,6,1,Defender,,
272,Dani Alves,5,6,1983,5,8,Defender,,
273,Fernando Alvez,9,4,1959,,,Goalkeeper,,
274,Antonio Alzamendi,6,7,1956,,,Forward,,
275,Anibal Alzate,1,31,1933,,,Defender,,
276,Amedeo Amadei,7,26,1921,,,Forward,,
277,Lauro Amado,3,15,1912,,,Forward,,
278,Rafael Amador,11,16,1957,,,Defender,,
279,Roland Aman,1,30,1957,,,Defender,,
280,Azeddine Amanallah,4,7,1956,,,Midfielder,,
281,Amancio,10,16,1940,,,Forward,,
282,Mourad Amara,2,19,1959,,,Goalkeeper,,
283,Amaral,12,21,1954,,,Defender,,
284,Amarildo,6,29,1939,,,Forward,,
285,Florencio Amarilla,1,3,1935,,,Forward,,
286,Ignacio Ambriz,2,7,1965,5,9,Defender,,
287,Javier Ambrois,5,9,1932,,,Forward,,
288,Efe Ambrose,10,18,1988,6,2,Defender,,
289,Paul Ambrosi,10,14,1980,5,9,Defender,,
290,Kurt Ambruster,9,16,1934,,,Defender,,
291,Mohammed Ameen,4,29,1980,5,8,Midfielder,,
292,Marco Amelia,4,2,1982,6,2,Goalkeeper,,
293,Shola Ameobi,10,12,1981,6,2,Forward,,
294,Martin Amerhauser,7,23,1974,5,10,Midfielder,,
295,Americo,3,6,1933,,,Goalkeeper,,
296,Efrain Amezcua,4,24,2016,,,Midfielder,,
297,Fuad Amin,10,13,1972,,,Midfielder,,
298,Matthew Amoah,10,24,1980,5,8,Forward,,
299,Daniel Amokachi,12,30,1972,,,Forward,,
300,Guillermo Amor,12,4,1967,,,Midfielder,,
