cid,cup_year,standing,stage,points,win,draw,loss,goals_scored,goals_against
20,2010,10,Round of 16,6,2,0,2,3,5
20,2014,9,Round of 16,7,2,1,1,6,4
74,2002,31,1st Round Groups,0,0,0,3,0,9
28,1962,14,1st Round Groups,1,0,1,2,5,11
28,1990,14,Round of 16,3,1,1,2,4,4
28,1994,19,1st Round Groups,3,1,0,2,4,5
28,1998,21,1st Round Groups,3,1,0,2,1,3
28,2014,5,Quarter Finals,12,4,0,1,12,4
29,1990,13,Round of 16,4,2,0,2,4,6
29,2002,19,1st Round Groups,4,1,1,1,5,6
29,2006,31,1st Round Groups,0,0,0,3,3,9
29,2014,8,Quarter Finals,9,2,3,0,5,2
27,1998,3,3rd Place Game,15,5,0,2,11,5
27,2002,23,1st Round Groups,3,1,0,2,2,3
27,2006,22,1st Round Groups,2,0,2,1,2,3
27,2014,19,1st Round Groups,3,1,0,2,6,6
57,1938,7,Quarter Finals,3,1,1,1,5,12
18,1934,2,Final Game,6,3,0,1,9,6
18,1938,5,Quarter Finals,3,1,1,1,5,3
18,1954,14,1st Round Groups,0,0,0,2,0,7
18,1958,9,1st Round Groups,3,1,1,2,9,6
18,1962,2,Final Game,7,3,1,2,7,7
18,1970,15,1st Round Groups,0,0,0,3,2,7
18,1982,19,1st Round Groups,2,0,2,1,2,4
18,1990,6,Quarter Finals,6,3,0,2,10,5
18,2006,20,1st Round Groups,3,1,0,2,3,4
25,1986,9,Round of 16,6,3,0,1,10,6
25,1998,8,Quarter Finals,7,2,1,2,9,7
25,2002,10,Round of 16,7,2,1,1,5,5
25,2010,24,1st Round Groups,3,1,0,2,3,6
48,1974,6,2nd Round Groups,6,2,2,2,5,5
40,2002,24,1st Round Groups,3,1,0,2,2,4
40,2006,12,Round of 16,6,2,0,2,5,4
40,2014,17,1st Round Groups,4,1,1,1,3,3
65,1934,13,Round of 16,0,0,0,1,2,4
65,1990,20,1st Round Groups,2,0,2,1,1,2
77,1970,16,1st Round Groups,0,0,0,3,0,9
77,1982,24,1st Round Groups,0,0,0,3,1,13
6,1950,8,1st Round Groups,2,1,0,2,2,2
6,1954,7,Quarter Finals,3,1,1,1,8,8
6,1958,11,1st Round Groups,3,0,3,1,4,5
6,1962,8,Quarter Finals,3,1,1,2,5,6
6,1966,1,Final Game,11,5,1,0,11,3
6,1970,8,Quarter Finals,4,2,0,2,4,4
6,1982,6,2nd Round Groups,8,3,2,0,6,1
6,1986,8,Quarter Finals,5,2,1,2,7,3
6,1990,4,3rd Place Game,9,3,3,1,8,6
6,1998,9,Round of 16,7,2,1,1,7,4
6,2002,6,Quarter Finals,8,2,2,1,6,3
6,2006,7,Quarter Finals,11,3,2,0,6,2
6,2010,13,Round of 16,5,1,2,1,3,5
6,2014,26,1st Round Groups,1,0,1,2,2,4
7,1930,7,1st Round Groups,2,1,0,2,4,3
7,1934,9,Round of 16,0,0,0,1,2,3
7,1938,8,Quarter Finals,2,1,0,1,4,4
7,1954,9,1st Round Groups,2,1,0,1,3,3
7,1958,3,3rd Place Game,8,4,0,2,23,15
7,1966,13,1st Round Groups,1,0,1,2,2,5
7,1978,12,1st Round Groups,2,1,0,2,5,5
7,1982,4,3rd Place Game,8,3,2,2,16,12
7,1986,3,3rd Place Game,10,4,2,1,12,6
7,1998,1,Final Game,19,6,1,0,15,2
7,2002,28,1st Round Groups,1,0,1,2,0,3
7,2006,2,Final Game,15,4,3,0,9,3
7,2010,29,1st Round Groups,1,0,1,2,1,4
7,2014,7,Quarter Finals,10,3,1,1,10,3
2,1934,3,3rd Place Game,6,3,0,1,11,8
2,1938,10,Round of 16,1,0,1,1,3,5
2,1954,1,Final Game,10,5,0,1,25,14
2,1958,4,3rd Place Game,6,2,2,2,12,14
2,1962,7,Quarter Finals,5,2,1,1,4,2
2,1966,2,Final Game,9,4,1,1,15,6
2,1970,3,3rd Place Game,10,5,0,1,17,10
2,1974,1,Final Game,12,6,0,1,13,4
2,1978,6,2nd Round Groups,6,1,4,1,10,5
2,1982,2,Final Game,8,3,2,2,12,10
2,1986,2,Final Game,8,3,2,2,8,7
2,1990,1,Final Game,12,5,2,0,15,5
2,1994,5,Quarter Finals,10,3,1,1,9,7
2,1998,7,Quarter Finals,10,3,1,1,8,6
2,2002,2,Final Game,16,5,1,1,14,3
2,2006,3,3rd Place Game,16,5,1,1,14,6
2,2010,3,3rd Place Game,15,5,0,2,16,5
